Index,Occupation title (click on the occupation title to view its profile),Year,Employment,Average hourly wage,Industry average,Similar occupation average
533,"Office and Administrative Support Occupations - Material Recording, Scheduling, Dispatching, and Distributing Workers - Executive Secretaries and Executive Administrative Assistants",2021,466910,$32.15,$20.88,$21.97
534,"Office and Administrative Support Occupations - Material Recording, Scheduling, Dispatching, and Distributing Workers - Legal Secretaries and Administrative Assistants",2021,155250,$25.26,$20.88,$21.97
535,"Office and Administrative Support Occupations - Material Recording, Scheduling, Dispatching, and Distributing Workers - Medical Secretaries and Administrative Assistants",2021,656640,$19.11,$20.88,$21.97
536,"Office and Administrative Support Occupations - Material Recording, Scheduling, Dispatching, and Distributing Workers - Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2021,1825980,$19.75,$20.88,$21.97
537,Office and Administrative Support Occupations - Other Office and Administrative Support Workers - Data Entry Keyers,2021,147170,$17.28,$20.88,$18.98
538,Office and Administrative Support Occupations - Other Office and Administrative Support Workers - Word Processors and Typists,2021,41930,$20.85,$20.88,$18.98
539,Office and Administrative Support Occupations - Other Office and Administrative Support Workers - Desktop Publishers,2021,7600,$24.49,$20.88,$18.98
540,Office and Administrative Support Occupations - Other Office and Administrative Support Workers - Insurance Claims and Policy Processing Clerks,2021,218300,$22.02,$20.88,$18.98
541,"Office and Administrative Support Occupations - Other Office and Administrative Support Workers - Mail Clerks and Mail Machine Operators, Except Postal Service",2021,69400,$16.54,$20.88,$18.98
542,"Office and Administrative Support Occupations - Other Office and Administrative Support Workers - Office Clerks, General",2021,2578180,$18.75,$20.88,$18.98
543,"Office and Administrative Support Occupations - Other Office and Administrative Support Workers - Office Machine Operators, Except Computer",2021,32920,$17.84,$20.88,$18.98
544,Office and Administrative Support Occupations - Other Office and Administrative Support Workers - Proofreaders and Copy Markers,2021,5340,$22.12,$20.88,$18.98
545,Office and Administrative Support Occupations - Other Office and Administrative Support Workers - Statistical Assistants,2021,6190,$25.68,$20.88,$18.98
546,"Office and Administrative Support Occupations - Other Office and Administrative Support Workers - Office and Administrative Support Workers, All Other",2021,147140,$20.47,$20.88,$18.98
547,"Farming, Fishing, and Forestry Occupations - First Line Supervisors of Farming, Fishing, and Forestry Workers - First Line Supervisors of Farming, Fishing, and Forestry Workers",2021,25770,$26.18,$16.70,$26.18
548,"Farming, Fishing, and Forestry Occupations - Agricultural Workers - Agricultural Inspectors",2021,13630,$22.80,$16.70,$15.60
549,"Farming, Fishing, and Forestry Occupations - Agricultural Workers - Animal Breeders",2021,950,$20.81,$16.70,$15.60
550,"Farming, Fishing, and Forestry Occupations - Agricultural Workers - Graders and Sorters, Agricultural Products",2021,25560,$14.62,$16.70,$15.60
551,"Farming, Fishing, and Forestry Occupations - Agricultural Workers - Agricultural Equipment Operators",2021,26180,$17.44,$16.70,$15.60
552,"Farming, Fishing, and Forestry Occupations - Agricultural Workers - Farmworkers and Laborers, Crop, Nursery, and Greenhouse",2021,277200,$15.11,$16.70,$15.60
553,"Farming, Fishing, and Forestry Occupations - Agricultural Workers - Farmworkers, Farm, Ranch, and Aquacultural Animals",2021,34140,$15.46,$16.70,$15.60
554,"Farming, Fishing, and Forestry Occupations - Agricultural Workers - Agricultural Workers, All Other",2021,6100,$17.88,$16.70,$15.60
555,"Farming, Fishing, and Forestry Occupations - Forest, Conservation, and Logging Workers - Forest and Conservation Workers",2021,6300,$16.20,$16.70,$20.83
556,"Farming, Fishing, and Forestry Occupations - Forest, Conservation, and Logging Workers - Fallers",2021,4170,$25.85,$16.70,$20.83
557,"Farming, Fishing, and Forestry Occupations - Forest, Conservation, and Logging Workers - Logging Equipment Operators",2021,25510,$21.14,$16.70,$20.83
558,"Farming, Fishing, and Forestry Occupations - Forest, Conservation, and Logging Workers - Log Graders and Scalers",2021,3260,$19.96,$16.70,$20.83
559,"Farming, Fishing, and Forestry Occupations - Forest, Conservation, and Logging Workers - Logging Workers, All Other",2021,3080,$21.84,$16.70,$20.83
560,Construction and Extraction Occupations - First Line Supervisors of Construction Trades and Extraction Workers - First Line Supervisors of Construction Trades and Extraction Workers,2021,665870,$36.09,$26.87,$36.09
561,Construction and Extraction Occupations - Construction Trades Workers - Boilermakers,2021,12920,$33.21,$26.87,$26.03
562,Construction and Extraction Occupations - Construction Trades Workers - Brickmasons and Blockmasons,2021,55950,$29.53,$26.87,$26.03
563,Construction and Extraction Occupations - Construction Trades Workers - Stonemasons,2021,9000,$24.12,$26.87,$26.03
564,Construction and Extraction Occupations - Construction Trades Workers - Carpenters,2021,668060,$26.53,$26.87,$26.03
565,Construction and Extraction Occupations - Construction Trades Workers - Carpet Installers,2021,19790,$23.42,$26.87,$26.03
566,"Construction and Extraction Occupations - Construction Trades Workers - Floor Layers, Except Carpet, Wood, and Hard Tiles",2021,18300,$25.90,$26.87,$26.03
567,Construction and Extraction Occupations - Construction Trades Workers - Floor Sanders and Finishers,2021,4340,$21.34,$26.87,$26.03
568,Construction and Extraction Occupations - Construction Trades Workers - Tile and Stone Setters,2021,41160,$25.64,$26.87,$26.03
569,Construction and Extraction Occupations - Construction Trades Workers - Cement Masons and Concrete Finishers,2021,186600,$24.47,$26.87,$26.03
570,Construction and Extraction Occupations - Construction Trades Workers - Terrazzo Workers and Finishers,2021,2640,$28.07,$26.87,$26.03
571,Construction and Extraction Occupations - Construction Trades Workers - Construction Laborers,2021,968760,$21.22,$26.87,$26.03
572,"Construction and Extraction Occupations - Construction Trades Workers - Paving, Surfacing, and Tamping Equipment Operators",2021,44200,$24.32,$26.87,$26.03
573,Construction and Extraction Occupations - Construction Trades Workers - Pile Driver Operators,2021,3760,$36.51,$26.87,$26.03
574,Construction and Extraction Occupations - Construction Trades Workers - Operating Engineers and Other Construction Equipment Operators,2021,404820,$27.06,$26.87,$26.03
575,Construction and Extraction Occupations - Construction Trades Workers - Drywall and Ceiling Tile Installers,2021,97070,$26.35,$26.87,$26.03
576,Construction and Extraction Occupations - Construction Trades Workers - Tapers,2021,14580,$31.32,$26.87,$26.03
577,Construction and Extraction Occupations - Construction Trades Workers - Electricians,2021,650580,$30.44,$26.87,$26.03
578,Construction and Extraction Occupations - Construction Trades Workers - Glaziers,2021,52700,$24.98,$26.87,$26.03
579,"Construction and Extraction Occupations - Construction Trades Workers - Insulation Workers, Floor, Ceiling, and Wall",2021,30360,$21.54,$26.87,$26.03
580,"Construction and Extraction Occupations - Construction Trades Workers - Insulation Workers, Mechanical",2021,28010,$27.05,$26.87,$26.03
581,"Construction and Extraction Occupations - Construction Trades Workers - Painters, Construction and Maintenance",2021,214220,$22.66,$26.87,$26.03
582,Construction and Extraction Occupations - Construction Trades Workers - Paperhangers,2021,2340,$24.79,$26.87,$26.03
583,Construction and Extraction Occupations - Construction Trades Workers - Pipelayers,2021,33330,$23.32,$26.87,$26.03
584,"Construction and Extraction Occupations - Construction Trades Workers - Plumbers, Pipefitters, and Steamfitters",2021,417620,$30.46,$26.87,$26.03
585,Construction and Extraction Occupations - Construction Trades Workers - Plasterers and Stucco Masons,2021,26980,$26.35,$26.87,$26.03
586,Construction and Extraction Occupations - Construction Trades Workers - Reinforcing Iron and Rebar Workers,2021,16420,$28.35,$26.87,$26.03
